Date,BTC,DBC,GLD,QQQ,SPY,TLT,TSLA,SOXX,VOO,Tbill
9/15/2014,398.821014,23.007803,117.089996,93.955566,175.020676,97.673386,51.863998,80.912292,161.717178,0.01
9/22/2014,377.181,22.823196,117.059998,93.048729,173.38562,98.866592,49.32,79.916313,158.777893,0.008
9/29/2014,320.51001,22.181931,114.610001,92.474098,172.176636,100.315544,51.042,77.644585,158.391174,0.008
10/6/2014,378.549011,21.948744,117.589996,88.960533,166.937347,102.573364,47.382,69.938805,153.556808,0.012
10/13/2014,389.54599,21.637829,118.989998,87.60408,165.123764,103.444885,45.495998,71.624702,151.913162,0.0175
10/20/2014,354.70401,21.530951,118.349998,92.898003,172.097733,102.291412,47.048,76.187752,158.285706,0.03
10/27/2014,325.891998,21.686407,112.660004,95.516693,176.679871,101.889832,48.34,79.852829,162.548706,0.03
11/3/2014,363.264008,21.35606,112.970001,95.705093,178.151733,102.317032,48.040001,79.495468,163.928696,0.016
11/10/2014,387.881989,21.025711,114.470001,97.231125,178.940277,102.343796,51.736,80.512543,164.658264,0.04
11/17/2014,367.572998,21.122871,115.389999,97.843384,181.078033,102.866257,48.556,82.794022,166.627136,0.04
11/24/2014,378.046997,19.840343,112.110001,99.859215,181.53363,104.9133,48.903999,85.61615,167.031525,0.04
12/1/2014,375.095001,19.597441,114.43,99.265785,182.234528,103.714218,44.742001,87.796875,167.708313,0.0425
12/8/2014,351.631989,18.76185,117.410004,96.713013,176.005234,108.421738,41.400002,83.893547,161.915863,0.03
12/15/2014,320.842987,18.674406,114.769997,98.267281,180.937851,108.052628,43.858002,85.936821,166.495346,0.032
12/22/2014,317.239014,18.256615,114.830002,99.314186,183.627975,106.799309,45.563999,86.340004,168.01593,0.024
12/29/2014,264.195007,17.712509,114.080002,97.328659,180.976212,109.52874,43.862,85.72757,165.598709,0.0125
1/5/2015,265.660004,17.226704,117.260002,97.026108,179.936707,112.754761,41.332001,85.561317,164.570374,0.025
1/12/2015,210.339005,17.051811,122.519997,95.324211,177.628601,114.578529,38.613998,82.864143,162.434448,0.018
1/19/2015,253.718002,16.799194,124.230003,98.576698,180.571014,115.937752,40.257999,84.96093,165.282318,0.0225
1/26/2015,226.972,16.906071,123.449997,95.588974,175.708038,118.957268,40.720001,81.626389,160.843521,0.016
2/2/2015,223.412003,17.508471,118.639999,97.508301,181.081924,112.660126,43.472,83.954079,165.704224,0.014
2/9/2015,234.824997,17.780521,117.980003,101.082268,184.808426,110.500168,40.754002,88.147644,169.10585,0.016
2/16/2015,235.977005,17.450174,115.279999,102.500488,186.09465,109.077835,43.422001,88.960457,170.327667,0.02
2/23/2015,260.201996,17.654213,116.160004,102.491028,185.583664,111.655243,40.667999,89.468506,169.817764,0.018
3/2/2015,274.354004,17.071245,111.860001,101.554977,182.799805,106.45739,38.776001,89.228348,167.277634,0.02
3/9/2015,286.393005,16.468847,110.879997,99.597832,181.328674,109.44593,37.736,88.609459,165.950394,0.014
3/16/2015,267.959991,16.721464,113.57,102.613937,185.363434,113.582962,39.616001,91.445206,170.389191,0.028
3/23/2015,242.712997,16.692316,115.059998,99.997475,182.058411,113.194275,37,86.725151,165.713043,0.022
3/30/2015,260.597992,16.799194,115.279999,99.618416,182.677811,112.909302,38.200001,86.317482,167.106262,0.022
4/6/2015,236.153,16.944937,115.970001,102.110764,185.863449,112.184906,42.18,88.744003,170.101151,0.03
4/13/2015,222.600006,17.430742,115.599998,100.461838,184.013992,113.768814,41.358002,87.132515,168.378403,0.018
4/20/2015,219.429993,17.489038,113.050003,104.754745,187.288132,111.708984,43.686001,86.882423,171.373398,0.026
4/27/2015,240.358002,17.751375,113.080002,103.342735,186.465195,107.320885,45.206001,88.345757,170.595947,0.016
5/4/2015,240.296005,17.702793,113.970001,103.001579,187.261597,106.24894,47.321999,87.966042,171.346863,0.002
5/11/2015,236.802002,17.926266,117.529999,103.845001,187.987198,105.451057,49.768002,88.957016,172.035934,0.014
5/18/2015,240.953003,17.479322,115.599998,104.688423,188.473846,104.418976,49.546001,90.33699,172.50415,0.012
5/25/2015,230.190002,17.20727,114.099998,104.290398,186.836823,106.422424,50.16,93.606316,170.940445,0.0175
6/1/2015,222.880997,17.071245,112.239998,103.579659,185.624557,101.990654,49.827999,91.161255,169.889145,0.014
6/8/2015,233.542999,17.090677,113.230003,103.058434,185.836899,102.514748,50.138,89.660889,170.074661,0.018
6/15/2015,243.944,16.954651,115.120003,104.138771,186.54483,103.496925,52.501999,90.614822,171.258514,0.008
6/22/2015,249.011002,17.197556,112.559998,103.789391,186.571884,100.150719,53.417999,87.438141,169.995117,0
6/29/2015,271.912994,17.246136,111.760002,102.535591,184.340012,100.819977,56.004002,86.115105,168.757294,0
7/6/2015,310.867004,16.77976,111.489998,102.250641,184.491165,101.085457,51.830002,82.762993,168.854919,0.0125
7/13/2015,273.614014,16.371685,108.650002,107.8927,188.937225,103.411156,54.931999,83.812271,172.946747,0.018
7/20/2015,292.686005,15.681838,105.349998,105.527588,184.953537,105.736877,53.082001,80.738701,169.236572,0.03
7/27/2015,282.614014,15.283476,104.93,106.334953,187.176529,106.729836,53.23,81.286583,171.260269,0.04
8/3/2015,265.083008,14.991993,104.650002,104.777222,184.909103,108.306404,48.501999,80.14444,169.236572,0.044
8/10/2015,258.506989,14.894831,106.849998,104.967194,186.216217,108.211243,48.630001,79.438744,170.43486,0.04
8/17/2015,228.169006,14.389593,111.129997,97.263962,175.910385,110.341263,46.153999,72.920204,160.689133,0.05
8/24/2015,228.761002,14.885116,108.699997,100.322456,177.199738,106.814522,49.695999,77.303032,162.180267,0.03
8/31/2015,239.839996,14.778238,107.489998,97.036011,171.250977,107.093849,48.386002,75.408775,156.650604,0.022
9/7/2015,230.511993,14.79767,106.160004,100.274971,174.941208,106.197739,50.048,77.693031,160.050003,0.015
9/14/2015,231.212006,14.583916,109.209999,100.06601,173.794083,106.818954,52.124001,77.033737,159.881424,0.024
9/21/2015,232.757004,14.71994,109.809998,97.995712,172.373718,106.329033,51.382,74.396629,156.890228,0
9/28/2015,238.259003,14.71994,108.989998,99.033562,174.295441,108.971054,49.514,76.729156,159.500381,0
10/5/2015,247.050003,15.312626,110.870003,101.432983,179.953339,107.198524,44.138,79.539871,164.70253,0
10/12/2015,261.643005,14.982277,112.489998,102.946922,181.687317,108.645058,45.402,82.369232,166.148132,0.0025
10/19/2015,283.679993,14.574199,111.5,107.383949,185.477142,108.005081,41.818001,86.281799,169.735184,0.018
10/26/2015,325.431,14.768521,109.300003,107.907646,185.852539,107.636871,41.386002,83.611168,170.038559,0.026
11/2/2015,373.368011,14.49647,104.099998,109.297798,187.73848,104.32309,46.472,85.450737,171.823181,0.016
11/9/2015,320.165985,13.884354,103.559998,104.584641,181.034775,105.147888,41.438,81.332726,165.675156,0.056
11/16/2015,324.536011,13.777476,103.089996,109.002617,187.085999,105.824348,44.001999,84.171448,171.260986,0.06
11/23/2015,371.294006,13.874638,101.25,108.840729,187.309464,106.28125,46.321999,84.628998,171.457306,0.062
11/30/2015,388.78299,13.787192,104.019997,109.63102,187.363098,105.938614,46.076,87.421036,171.466263,0.1275
12/7/2015,433.755005,13.145926,103.110001,105.489143,180.444916,108.96302,43.403999,83.667213,165.059464,0.188
12/14/2015,442.684998,12.893309,102.040001,104.575089,178.782394,108.496422,46.091999,82.873505,164.541931,0.178
12/21/2015,422.822998,13.009902,103.050003,107.530449,184.935501,107.263794,46.113998,85.170593,168.20932,0.178
12/28/2015,430.010986,12.980753,101.459999,106.83326,183.308121,106.385834,48.001999,84.069542,167.793091,0.165
1/4/2016,447.990997,12.436649,105.68,99.336029,172.563354,108.8386,42.200001,76.124825,157.955154,0.1425
1/11/2016,382.299011,11.727371,104.080002,96.308472,168.867874,110.947235,40.998001,72.671867,154.526245,0.2
1/18/2016,402.971008,12.048004,105,99.106796,171.30455,110.585495,40.509998,75.713135,156.779282,0.2125
1/25/2016,368.766998,12.417217,106.949997,99.45063,174.181793,112.314812,38.240002,77.696938,159.552917,0.25
2/1/2016,376.619995,12.174314,112.32,93.710724,168.993774,113.567657,32.52,74.31881,154.669815,0.248
2/8/2016,407.230011,12.145166,118.360001,93.615211,167.806946,116.240494,30.208,72.475327,153.619598,0.242
