Date,BTC,DBC,GLD,QQQ,SPY,TLT,TSLA,SOXX,VOO,Tbill,,Excess Return,,,,,,,,
9/15/2014,398.821014,23.007803,117.089996,93.955566,175.020676,97.673386,51.863998,80.912292,161.717178,0.01,Date,BTC,DBC,GLD,QQQ,SPY,TLT,TSLA,SOXX,VOO
9/22/2014,377.181,22.823196,117.059998,93.048729,173.38562,98.866592,49.32,79.916313,158.777893,0.008,9/22/2014,-5.433996435,-0.810366919,-0.03361961,-0.973176454,-0.942207339,1.213628582,-4.913132844,-1.23893658,-1.825546556
9/29/2014,320.51001,22.181931,114.610001,92.474098,172.176636,100.315544,51.042,77.644585,158.391174,0.008,9/29/2014,-15.0328793,-2.817707282,-2.100941262,-0.625559215,-0.705280432,1.457562806,3.483484185,-2.850633644,-0.251559725
10/6/2014,378.549011,21.948744,117.589996,88.960533,166.937347,102.573364,47.382,69.938805,153.556808,0.012,10/6/2014,18.0963271,-1.063247522,2.588117768,-3.811512594,-3.054973264,2.238717994,-7.182565417,-9.936426797,-3.064168803
10/13/2014,389.54599,21.637829,118.989998,87.60408,165.123764,103.444885,45.495998,71.624702,151.913162,0.0175,10/13/2014,2.887534403,-1.434050305,1.173079171,-1.542280658,-1.103885421,0.832156252,-3.997918724,2.393031607,-1.087883021
10/20/2014,354.70401,21.530951,118.349998,92.898003,172.097733,102.291412,47.048,76.187752,158.285706,0.03,10/20/2014,-8.974253283,-0.523940497,-0.567860333,6.013009641,4.19347991,-1.14506045,3.38129345,6.340776942,4.164859692
10/27/2014,325.891998,21.686407,112.660004,95.516693,176.679871,101.889832,48.34,79.852829,162.548706,0.03,10/27/2014,-8.15283233,0.692011768,-4.837768565,2.788887291,2.632520836,-0.422584277,2.71613161,4.780585565,2.663231188
11/3/2014,363.264008,21.35606,112.970001,95.705093,178.151733,102.317032,48.040001,79.495468,163.928696,0.016,11/3/2014,11.4516059,-1.539290603,0.259161538,0.18124301,0.817067169,0.403276381,-0.636601986,-0.463524533,0.832970154
11/10/2014,387.881989,21.025711,114.470001,97.231125,178.940277,102.343796,51.736,80.512543,164.658264,0.04,11/10/2014,6.736884155,-1.586863045,1.287786126,1.554514933,0.402624939,-0.013842087,7.653586434,1.239412557,0.405052037
11/17/2014,367.572998,21.122871,115.389999,97.843384,181.078033,102.866257,48.556,82.794022,166.627136,0.04,11/17/2014,-5.275868531,0.422100901,0.763702273,0.589694452,1.154675696,0.470496015,-6.186590382,2.793693875,1.155732271
